key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-21,,,,,2,0,,,,,,-45,14,-45,-27,-23,,,44.02,-93.22,,1119,,,72656804961,11.915999,-2.9444444,-6.5222222,0.97222222,0.1524,30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-22,1,0,,,3,0,,,,,,-41,-14,-57,-29,-20,,,44.02,-93.22,,1119,,,72656804961,11.915999,0.81666667,-1.5888889,4.5777778,0.1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-23,0,0,,,3,0,,,,,,-32,-3,,-3,-33,15,,44.02,-93.22,,1119,,,72656804961,11.915999,1.8555556,-0.022222222,5.3222222,0.16933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-24,2,0,,,5,0,,,,,,-36,-7,,-9,-36,18,,44.02,-93.22,,1119,,,72656804961,11.915999,4.4833333,2.3611111,8.05,0.028222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-25,0,0,,,5,0,,,,,,-33,2,,-12,-36,17,,44.02,-93.22,,1119,,,72656804961,11.915999,5.9222222,4.0333333,7.9666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-26,0,0,,,5,0,,,,,,-30,-4,,-16,-37,17,,44.02,-93.22,,1119,,,72656804961,11.915999,4.2555556,1.1166667,8.3166667,7.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-27,0,0,,,5,0,,,,,,-32,-1,,-22,-40,19,,44.02,-93.22,,1119,,,72656804961,11.915999,6.2277778,1.6611111,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-28,0,0,,,5,0,,,,,,-64,-26,-66,-49,-38,,,44.02,-93.22,,1119,,,72656804961,11.915999,7.3055556,5.5888889,10.45,3.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-29,0,0,,,5,0,,,,,,-53,-27,-60,-44,-33,,,44.02,-93.22,,1119,,,72656804961,11.915999,4.3833333,0.95,8.0833333,9.4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-30,1,0,,,6,0,,,,,,-40,-13,,-29,-43,17,,44.02,-93.22,,1119,,,72656804961,11.915999,6.1222222,-0.62777778,13.9,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-03-31,0,0,,,6,0,,,,,,-36,-10,,-11,-44,19,,44.02,-93.22,,1119,,,72656804961,11.915999,6,0.2,12.177778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-04-01,0,0,,,6,0,,,,,,-35,-8,,-23,-44,20,,44.02,-93.22,,1119,,,72656804961,11.915999,5.0611111,0.59444444,11.194444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-04-02,0,0,,,6,0,,,,,,-39,-12,,-23,-44,21,,44.02,-93.22,,1119,,,72656804961,11.915999,9.9611111,6.0555556,17.077778,0.028222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
US_MN_27147,Q487686,geoId/27147,US,United States of America,MN,Minnesota,27147,Steele County,US,USA,2,2020-04-03,0,0,,,6,0,,,,,,-51,-17,,-30,-45,25,,44.02,-93.22,,1119,,,72656804961,11.915999,2.6277778,-3.4888889,15.561111,0.6096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36755,,,,,,,,,,,,,,,,,,,,,,,,,,,
