key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure
AD,,33.5,7.7,2.7,,,,,,4.0128,3.3333,4040.786621094,1688.121459961
AE,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456055,256.0344848633
AF,64.486,,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265014648,50.66591262817
AG,76.885,,13.1,5,126.917,83.136,29.9,22.6,,4.5171,2.956,673.8596801758,235.7490386963
AL,78.458,28.7,9,7.8,93.315,49.486,68,17,,3.6495,1.2164,,
AM,74.945,24.1,6.1,11,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.6358642578,343.8329772949
AO,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.4596405029,39.05479431152
AR,76.52,21.8,5.9,8.8,147.086,79.483,26.6,15.8,,2.5996,3.9901,1324.603515625,198.9359436035
AT,81.69268292683,29.6,6.6,2.9,79.032,41.779,15.3,11.4,,7.0899,5.1697,4939.875488281,948.6174316406
AU,82.7487804878,14.7,5.6,3.1,75.835,44.673,8.4,9.1,,12.5508,3.6778,5331.817871094,967.8370361328
AW,76.152,,11.6,,110.63,68.514,,,,,,,
AZ,72.864,20.8,6.1,19.2,149.499,89.073,63.9,22.2,,,,275.8093566895,231.2830810547
BA,77.262,38.9,9,5,115.278,59.775,79.8,17.8,,5.7333,2.1616,460.4733276367,134.1787414551
BB,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836181641,548.1585083008
BD,72.32,23,9.2,25.1,151.411,114.505,149,21.6,0.8,0.4124,0.5809,36.28233718872,26.80710792541
BE,81.59512195122,28.2,4.6,2.9,80.262,49.245,15.7,11.4,,19.4614,3.0709,4507.356445312,795.017578125
BF,61.174,12.5,7.3,49,260.379,228.16,206.2,21.7,,0.8829,0.0847,44.40349197388,14.06595897675
