key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-19,,0,0,,,0,0,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,1,1,2,,,1,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-20,,0,1,,,0,1,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,5,6,6,,,1,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-21,,0,0,,,0,1,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,1,7,7,,,1,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-22,,0,0,,,0,1,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,2,9,8,,,1,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-23,,0,0,,,0,1,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,2,11,10,,,1,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-24,,0,2,,,0,3,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,14,25,24,,,2,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-25,,0,0,,,0,3,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,5,30,28,,,4,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-26,,0,0,,,0,3,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,16,46,45,,,9,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-27,,0,1,,,0,4,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,6,52,48,,,12,,,
FR_BFC_39,Q3120,,FR,France,BFC,Bourgogne-Franche-Comté,39,Jura,FR,FRA,2,2020-03-28,,1,9,,,1,13,,,,,,,,,,,7460,46.675278,5.554444,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261294,136292,141130,,,,,,,33206,34306,32796,33081,35014,36053,32718,23278,13576,3394,4,56,37,,,9,,,
