key,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,date,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,gdp,gdp_per_capita,human_capital_index,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-19,,0,1,,,0,1,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,1,1,0,,,0,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-20,,0,0,,,0,1,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,0,1,0,,,0,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-21,,0,3,,,0,4,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,4,5,1,,,0,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-22,,0,0,,,0,4,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,0,5,1,,,0,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-23,,0,0,,,0,4,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,0,5,2,,,0,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-24,,0,0,,,0,4,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,0,5,2,,,0,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-25,,0,0,,,0,4,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,1,6,3,,,1,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-26,,0,1,,,0,5,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,1,7,3,,,1,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-27,,0,0,,,0,5,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,0,7,3,,,1,,,
FR_OCC_46,Q12576,,FR,France,OCC,Occitanie,46,Lot,FR,FRA,2,2020-03-28,,0,0,,,0,5,,,,,,,,,,,7454,44.558889,1.5763889,,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174346,94058,98546,,,,,,,23056,23820,22769,22965,24308,25028,22715,16161,9426,2356,1,8,3,,,1,,,
