date,match_string,new_confirmed,new_deceased,new_tested,new_hospitalized,new_intensive_care,total_confirmed,total_deceased,total_tested,total_hospitalized,total_intensive_care,country_code,key
2020-01-13,Aguascalientes,0,,0,,,0,0,0,0,0,MX,MX_AGU
2020-01-14,Aguascalientes,1,,2,,,1,0,2,0,0,MX,MX_AGU
2020-01-15,Aguascalientes,0,,2,,,1,0,4,0,0,MX,MX_AGU
2020-01-16,Aguascalientes,0,,0,,,1,0,4,0,0,MX,MX_AGU
2020-01-17,Aguascalientes,0,,0,,,1,0,4,0,0,MX,MX_AGU
2020-01-18,Aguascalientes,0,,0,,,1,0,4,0,0,MX,MX_AGU
2020-01-19,Aguascalientes,0,,0,,,1,0,4,0,0,MX,MX_AGU
2020-01-20,Aguascalientes,0,,0,,,1,0,4,0,0,MX,MX_AGU
2020-01-21,Aguascalientes,0,,0,,,1,0,4,0,0,MX,MX_AGU
2020-01-22,Aguascalientes,0,,0,,,1,0,4,0,0,MX,MX_AGU
2020-01-23,Aguascalientes,0,,1,,,1,0,5,0,0,MX,MX_AGU
2020-01-24,Aguascalientes,0,,1,,,1,0,6,0,0,MX,MX_AGU
2020-01-25,Aguascalientes,0,,0,,,1,0,6,0,0,MX,MX_AGU
2020-01-26,Aguascalientes,0,,0,,,1,0,6,0,0,MX,MX_AGU
2020-01-27,Aguascalientes,0,,0,,,1,0,6,0,0,MX,MX_AGU
2020-01-28,Aguascalientes,0,,0,,,1,0,6,0,0,MX,MX_AGU
2020-01-29,Aguascalientes,0,,0,,,1,0,6,0,0,MX,MX_AGU
2020-01-30,Aguascalientes,0,,0,,,1,0,6,0,0,MX,MX_AGU
2020-01-31,Aguascalientes,0,,1,,,1,0,7,0,0,MX,MX_AGU
2020-02-01,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-02,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-03,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-04,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-05,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-06,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-07,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-08,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-09,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-10,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-11,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-12,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-13,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-14,Aguascalientes,0,,0,,,1,0,7,0,0,MX,MX_AGU
2020-02-15,Aguascalientes,0,,1,,,1,0,8,0,0,MX,MX_AGU
2020-02-16,Aguascalientes,0,,0,,,1,0,8,0,0,MX,MX_AGU
2020-02-17,Aguascalientes,0,,1,,,1,0,9,0,0,MX,MX_AGU
2020-02-18,Aguascalientes,0,,1,,,1,0,10,0,0,MX,MX_AGU
2020-02-19,Aguascalientes,0,,1,,,1,0,11,0,0,MX,MX_AGU
2020-02-20,Aguascalientes,0,,1,,,1,0,12,0,0,MX,MX_AGU
2020-02-21,Aguascalientes,0,,1,,,1,0,13,0,0,MX,MX_AGU
2020-02-22,Aguascalientes,0,,0,,,1,0,13,0,0,MX,MX_AGU
2020-02-23,Aguascalientes,0,,0,,,1,0,13,0,0,MX,MX_AGU
2020-02-24,Aguascalientes,0,,0,,,1,0,13,0,0,MX,MX_AGU
2020-02-25,Aguascalientes,0,,0,,,1,0,13,0,0,MX,MX_AGU
2020-02-26,Aguascalientes,0,,0,,,1,0,13,0,0,MX,MX_AGU
2020-02-27,Aguascalientes,0,,1,0,0,1,0,14,0,0,MX,MX_AGU
2020-02-28,Aguascalientes,0,,2,0,0,1,0,16,0,0,MX,MX_AGU
2020-02-29,Aguascalientes,0,,0,0,0,1,0,16,0,0,MX,MX_AGU
2020-03-01,Aguascalientes,0,,0,0,0,1,0,16,0,0,MX,MX_AGU
2020-03-02,Aguascalientes,0,,0,0,0,1,0,16,0,0,MX,MX_AGU
2020-03-03,Aguascalientes,0,,2,0,0,1,0,18,0,0,MX,MX_AGU
2020-03-04,Aguascalientes,0,,0,0,0,1,0,18,0,0,MX,MX_AGU
2020-03-05,Aguascalientes,0,,3,0,0,1,0,21,0,0,MX,MX_AGU
2020-03-06,Aguascalientes,0,,2,0,0,1,0,23,0,0,MX,MX_AGU
2020-03-07,Aguascalientes,0,,0,0,0,1,0,23,0,0,MX,MX_AGU
2020-03-08,Aguascalientes,0,,1,0,0,1,0,24,0,0,MX,MX_AGU
2020-03-09,Aguascalientes,0,,0,0,0,1,0,24,0,0,MX,MX_AGU
2020-03-10,Aguascalientes,0,,3,0,0,1,0,27,0,0,MX,MX_AGU
2020-03-11,Aguascalientes,0,,2,0,0,1,0,29,0,0,MX,MX_AGU
2020-03-12,Aguascalientes,1,,5,0,0,2,0,34,0,0,MX,MX_AGU
2020-03-13,Aguascalientes,0,,1,0,0,2,0,35,0,0,MX,MX_AGU
2020-03-14,Aguascalientes,1,,2,0,0,3,0,37,0,0,MX,MX_AGU
2020-03-15,Aguascalientes,0,,9,0,0,3,0,46,0,0,MX,MX_AGU
2020-03-16,Aguascalientes,0,,8,0,0,3,0,54,0,0,MX,MX_AGU
2020-03-17,Aguascalientes,1,,7,1,0,4,0,61,1,0,MX,MX_AGU
2020-03-18,Aguascalientes,3,0,22,0,0,7,0,83,1,0,MX,MX_AGU
2020-03-19,Aguascalientes,1,0,13,0,0,8,0,96,1,0,MX,MX_AGU
2020-03-20,Aguascalientes,2,0,19,0,0,10,0,115,1,0,MX,MX_AGU
2020-03-21,Aguascalientes,1,0,14,0,0,11,0,129,1,0,MX,MX_AGU
2020-03-22,Aguascalientes,1,0,21,0,0,12,0,150,1,0,MX,MX_AGU
2020-03-23,Aguascalientes,4,0,22,0,0,16,0,172,1,0,MX,MX_AGU
2020-03-24,Aguascalientes,0,0,36,0,0,16,0,208,1,0,MX,MX_AGU
2020-03-25,Aguascalientes,17,0,44,2,0,33,0,252,3,0,MX,MX_AGU
2020-03-26,Aguascalientes,3,0,38,0,0,36,0,290,3,0,MX,MX_AGU
2020-03-27,Aguascalientes,6,0,42,0,0,42,0,332,3,0,MX,MX_AGU
2020-03-28,Aguascalientes,5,0,22,0,0,47,0,354,3,0,MX,MX_AGU
2020-03-29,Aguascalientes,3,0,33,1,1,50,0,387,4,1,MX,MX_AGU
2020-03-30,Aguascalientes,4,0,43,0,0,54,0,430,4,1,MX,MX_AGU
2020-03-31,Aguascalientes,1,0,29,0,0,55,0,459,4,1,MX,MX_AGU
2020-04-01,Aguascalientes,0,0,42,0,0,55,0,501,4,1,MX,MX_AGU
2020-04-02,Aguascalientes,0,0,43,0,0,55,0,544,4,1,MX,MX_AGU
2020-04-03,Aguascalientes,2,0,43,1,0,57,0,587,5,1,MX,MX_AGU
2020-04-04,Aguascalientes,0,0,31,0,0,57,0,618,5,1,MX,MX_AGU
2020-04-05,Aguascalientes,3,0,15,1,0,60,0,633,6,1,MX,MX_AGU
2020-04-06,Aguascalientes,4,0,44,1,0,64,0,677,7,1,MX,MX_AGU
2020-04-07,Aguascalientes,1,0,35,0,0,65,0,712,7,1,MX,MX_AGU
2020-04-08,Aguascalientes,1,0,33,0,0,66,0,745,7,1,MX,MX_AGU
2020-04-09,Aguascalientes,0,0,2,0,0,66,0,747,7,1,MX,MX_AGU
2020-04-10,Aguascalientes,3,1,18,0,0,69,1,765,7,1,MX,MX_AGU
2020-04-11,Aguascalientes,1,0,23,1,0,70,1,788,8,1,MX,MX_AGU
2020-04-12,Aguascalientes,2,0,15,1,0,72,1,803,9,1,MX,MX_AGU
2020-04-13,Aguascalientes,5,1,50,0,0,77,2,853,9,1,MX,MX_AGU
2020-04-14,Aguascalientes,2,0,44,0,0,79,2,897,9,1,MX,MX_AGU
2020-04-15,Aguascalientes,11,0,72,3,0,90,2,969,12,1,MX,MX_AGU
2020-04-16,Aguascalientes,6,0,41,2,0,96,2,1010,14,1,MX,MX_AGU
2020-04-17,Aguascalientes,15,1,37,1,0,111,3,1047,15,1,MX,MX_AGU
2020-04-18,Aguascalientes,12,0,30,2,1,123,3,1077,17,2,MX,MX_AGU
2020-04-19,Aguascalientes,3,1,29,0,0,126,4,1106,17,2,MX,MX_AGU
2020-04-20,Aguascalientes,17,0,100,3,1,143,4,1206,20,3,MX,MX_AGU
2020-04-21,Aguascalientes,13,0,73,1,1,156,4,1279,21,4,MX,MX_AGU
2020-04-22,Aguascalientes,10,1,59,1,0,166,5,1338,22,4,MX,MX_AGU
2020-04-23,Aguascalientes,21,0,112,2,0,187,5,1450,24,4,MX,MX_AGU
2020-04-24,Aguascalientes,11,0,100,0,0,198,5,1550,24,4,MX,MX_AGU
2020-04-25,Aguascalientes,2,0,8,0,0,200,5,1558,24,4,MX,MX_AGU
2020-04-26,Aguascalientes,7,0,30,3,0,207,5,1588,27,4,MX,MX_AGU
2020-04-27,Aguascalientes,19,1,102,6,2,226,6,1690,33,6,MX,MX_AGU
2020-04-28,Aguascalientes,29,1,116,1,0,255,7,1806,34,6,MX,MX_AGU
2020-04-29,Aguascalientes,19,0,129,2,0,274,7,1935,36,6,MX,MX_AGU
2020-04-30,Aguascalientes,25,1,152,3,0,299,8,2087,39,6,MX,MX_AGU
2020-05-01,Aguascalientes,4,0,21,1,0,303,8,2108,40,6,MX,MX_AGU
2020-05-02,Aguascalientes,4,1,21,2,0,307,9,2129,42,6,MX,MX_AGU
2020-05-03,Aguascalientes,3,0,141,0,0,310,9,2270,42,6,MX,MX_AGU
2020-05-04,Aguascalientes,48,1,142,4,0,358,10,2412,46,6,MX,MX_AGU
2020-05-05,Aguascalientes,11,0,90,2,0,369,10,2502,48,6,MX,MX_AGU
2020-05-06,Aguascalientes,17,3,91,2,0,386,13,2593,50,6,MX,MX_AGU
2020-05-07,Aguascalientes,24,3,175,8,0,410,16,2768,58,6,MX,MX_AGU
2020-05-08,Aguascalientes,14,1,51,3,1,424,17,2819,61,7,MX,MX_AGU
2020-05-09,Aguascalientes,0,0,41,0,0,424,17,2860,61,7,MX,MX_AGU
2020-05-10,Aguascalientes,5,1,45,5,0,429,18,2905,66,7,MX,MX_AGU
2020-05-11,Aguascalientes,13,0,140,4,0,442,18,3045,70,7,MX,MX_AGU
2020-05-12,Aguascalientes,43,0,249,6,0,485,18,3294,76,7,MX,MX_AGU
2020-05-13,Aguascalientes,13,1,69,5,0,498,19,3363,81,7,MX,MX_AGU
2020-05-14,Aguascalientes,22,1,86,2,0,520,20,3449,83,7,MX,MX_AGU
2020-05-15,Aguascalientes,27,1,57,8,1,547,21,3506,91,8,MX,MX_AGU
2020-05-16,Aguascalientes,3,1,39,3,0,550,22,3545,94,8,MX,MX_AGU
2020-05-17,Aguascalientes,7,4,38,7,0,557,26,3583,101,8,MX,MX_AGU
2020-05-18,Aguascalientes,38,0,78,4,0,595,26,3661,105,8,MX,MX_AGU
2020-05-19,Aguascalientes,21,0,75,4,0,616,26,3736,109,8,MX,MX_AGU
2020-05-20,Aguascalientes,27,0,99,6,0,643,26,3835,115,8,MX,MX_AGU
2020-05-21,Aguascalientes,30,2,101,7,0,673,28,3936,122,8,MX,MX_AGU
2020-05-22,Aguascalientes,23,1,66,2,0,696,29,4002,124,8,MX,MX_AGU
2020-05-23,Aguascalientes,16,0,61,10,0,712,29,4063,134,8,MX,MX_AGU
2020-05-24,Aguascalientes,9,4,40,7,1,721,33,4103,141,9,MX,MX_AGU
2020-05-25,Aguascalientes,40,0,77,8,0,761,33,4180,149,9,MX,MX_AGU
2020-05-26,Aguascalientes,40,1,114,10,1,801,34,4294,159,10,MX,MX_AGU
2020-05-27,Aguascalientes,35,4,145,13,0,836,38,4439,172,10,MX,MX_AGU
2020-05-28,Aguascalientes,46,3,91,8,1,882,41,4530,180,11,MX,MX_AGU
2020-05-29,Aguascalientes,40,3,64,8,0,922,44,4594,188,11,MX,MX_AGU
2020-05-30,Aguascalientes,15,2,70,10,0,937,46,4664,198,11,MX,MX_AGU
2020-05-31,Aguascalientes,22,1,108,14,0,959,47,4772,212,11,MX,MX_AGU
2020-06-01,Aguascalientes,66,2,115,16,0,1025,49,4887,228,11,MX,MX_AGU
2020-06-02,Aguascalientes,58,3,108,8,1,1083,52,4995,236,12,MX,MX_AGU
2020-06-03,Aguascalientes,61,3,139,8,0,1144,55,5134,244,12,MX,MX_AGU
2020-06-04,Aguascalientes,44,3,87,8,1,1188,58,5221,252,13,MX,MX_AGU
2020-06-05,Aguascalientes,60,2,92,11,1,1248,60,5313,263,14,MX,MX_AGU
2020-06-06,Aguascalientes,23,5,84,14,1,1271,65,5397,277,15,MX,MX_AGU
2020-06-07,Aguascalientes,26,2,119,12,1,1297,67,5516,289,16,MX,MX_AGU
2020-06-08,Aguascalientes,72,4,115,7,0,1369,71,5631,296,16,MX,MX_AGU
2020-06-09,Aguascalientes,64,4,156,9,0,1433,75,5787,305,16,MX,MX_AGU
2020-06-10,Aguascalientes,62,6,174,12,1,1495,81,5961,317,17,MX,MX_AGU
2020-06-11,Aguascalientes,67,1,136,16,0,1562,82,6097,333,17,MX,MX_AGU
2020-06-12,Aguascalientes,62,8,105,11,0,1624,90,6202,344,17,MX,MX_AGU
2020-06-13,Aguascalientes,30,2,94,12,0,1654,92,6296,356,17,MX,MX_AGU
2020-06-14,Aguascalientes,20,1,48,13,1,1674,93,6344,369,18,MX,MX_AGU
2020-06-15,Aguascalientes,64,2,212,8,0,1738,95,6556,377,18,MX,MX_AGU
2020-06-16,Aguascalientes,25,4,125,2,0,1763,99,6681,379,18,MX,MX_AGU
2020-06-17,Aguascalientes,17,4,90,1,0,1780,103,6771,380,18,MX,MX_AGU
2020-06-18,Aguascalientes,3,3,77,1,,1783,106,6848,381,18,MX,MX_AGU
2020-06-19,Aguascalientes,0,0,52,0,,1783,106,6900,381,18,MX,MX_AGU
2020-01-13,Baja California,0,,1,,,0,0,1,0,0,MX,MX_BCN
2020-01-14,Baja California,0,,2,,,0,0,3,0,0,MX,MX_BCN
2020-01-15,Baja California,0,,7,,,0,0,10,0,0,MX,MX_BCN
2020-01-16,Baja California,0,,0,,,0,0,10,0,0,MX,MX_BCN
2020-01-17,Baja California,0,,3,,,0,0,13,0,0,MX,MX_BCN
2020-01-18,Baja California,0,,0,,,0,0,13,0,0,MX,MX_BCN
2020-01-19,Baja California,0,,1,,,0,0,14,0,0,MX,MX_BCN
2020-01-20,Baja California,0,,5,,,0,0,19,0,0,MX,MX_BCN
2020-01-21,Baja California,0,,3,,,0,0,22,0,0,MX,MX_BCN
2020-01-22,Baja California,0,,2,,,0,0,24,0,0,MX,MX_BCN
2020-01-23,Baja California,0,,1,,,0,0,25,0,0,MX,MX_BCN
2020-01-24,Baja California,0,,2,,,0,0,27,0,0,MX,MX_BCN
2020-01-25,Baja California,0,,0,,,0,0,27,0,0,MX,MX_BCN
2020-01-26,Baja California,0,,0,,,0,0,27,0,0,MX,MX_BCN
2020-01-27,Baja California,0,,3,,,0,0,30,0,0,MX,MX_BCN
2020-01-28,Baja California,0,,0,,,0,0,30,0,0,MX,MX_BCN
2020-01-29,Baja California,0,,2,,,0,0,32,0,0,MX,MX_BCN
2020-01-30,Baja California,0,,1,,,0,0,33,0,0,MX,MX_BCN
2020-01-31,Baja California,0,,2,,,0,0,35,0,0,MX,MX_BCN
2020-02-01,Baja California,0,,3,,,0,0,38,0,0,MX,MX_BCN
2020-02-02,Baja California,0,,0,,,0,0,38,0,0,MX,MX_BCN
2020-02-03,Baja California,0,,2,,,0,0,40,0,0,MX,MX_BCN
2020-02-04,Baja California,0,,1,,,0,0,41,0,0,MX,MX_BCN
2020-02-05,Baja California,0,,4,,,0,0,45,0,0,MX,MX_BCN
2020-02-06,Baja California,0,,2,,,0,0,47,0,0,MX,MX_BCN
2020-02-07,Baja California,0,,0,,,0,0,47,0,0,MX,MX_BCN
2020-02-08,Baja California,0,,0,,,0,0,47,0,0,MX,MX_BCN
2020-02-09,Baja California,0,,1,,,0,0,48,0,0,MX,MX_BCN
2020-02-10,Baja California,0,,0,,,0,0,48,0,0,MX,MX_BCN
2020-02-11,Baja California,0,,2,,,0,0,50,0,0,MX,MX_BCN
2020-02-12,Baja California,1,,2,,,1,0,52,0,0,MX,MX_BCN
2020-02-13,Baja California,0,,0,,,1,0,52,0,0,MX,MX_BCN
2020-02-14,Baja California,0,,0,,,1,0,52,0,0,MX,MX_BCN
2020-02-15,Baja California,0,,1,,,1,0,53,0,0,MX,MX_BCN
2020-02-16,Baja California,0,,0,,,1,0,53,0,0,MX,MX_BCN
2020-02-17,Baja California,0,,1,,,1,0,54,0,0,MX,MX_BCN
2020-02-18,Baja California,0,,2,,,1,0,56,0,0,MX,MX_BCN
2020-02-19,Baja California,0,,1,,,1,0,57,0,0,MX,MX_BCN
2020-02-20,Baja California,0,,1,,,1,0,58,0,0,MX,MX_BCN
2020-02-21,Baja California,0,,2,,,1,0,60,0,0,MX,MX_BCN
2020-02-22,Baja California,0,,1,,,1,0,61,0,0,MX,MX_BCN
2020-02-23,Baja California,0,,2,,,1,0,63,0,0,MX,MX_BCN
2020-02-24,Baja California,0,,0,,,1,0,63,0,0,MX,MX_BCN
2020-02-25,Baja California,0,,1,,,1,0,64,0,0,MX,MX_BCN
2020-02-26,Baja California,0,,0,,,1,0,64,0,0,MX,MX_BCN
2020-02-27,Baja California,0,,1,0,0,1,0,65,0,0,MX,MX_BCN
2020-02-28,Baja California,0,,0,0,0,1,0,65,0,0,MX,MX_BCN
2020-02-29,Baja California,0,,1,0,0,1,0,66,0,0,MX,MX_BCN
2020-03-01,Baja California,0,,0,0,0,1,0,66,0,0,MX,MX_BCN
2020-03-02,Baja California,0,,3,0,0,1,0,69,0,0,MX,MX_BCN
2020-03-03,Baja California,0,,5,0,0,1,0,74,0,0,MX,MX_BCN
2020-03-04,Baja California,0,,4,0,0,1,0,78,0,0,MX,MX_BCN
2020-03-05,Baja California,0,,0,0,0,1,0,78,0,0,MX,MX_BCN
2020-03-06,Baja California,0,,0,0,0,1,0,78,0,0,MX,MX_BCN
2020-03-07,Baja California,0,,2,0,0,1,0,80,0,0,MX,MX_BCN
2020-03-08,Baja California,0,,1,0,0,1,0,81,0,0,MX,MX_BCN
2020-03-09,Baja California,0,,7,0,0,1,0,88,0,0,MX,MX_BCN
2020-03-10,Baja California,0,,4,0,0,1,0,92,0,0,MX,MX_BCN
2020-03-11,Baja California,1,,5,0,0,2,0,97,0,0,MX,MX_BCN
2020-03-12,Baja California,0,,6,0,0,2,0,103,0,0,MX,MX_BCN
2020-03-13,Baja California,0,,14,0,0,2,0,117,0,0,MX,MX_BCN
2020-03-14,Baja California,0,,3,0,0,2,0,120,0,0,MX,MX_BCN
2020-03-15,Baja California,0,,2,0,0,2,0,122,0,0,MX,MX_BCN
2020-03-16,Baja California,1,,9,0,0,3,0,131,0,0,MX,MX_BCN
2020-03-17,Baja California,3,,13,0,0,6,0,144,0,0,MX,MX_BCN
2020-03-18,Baja California,4,0,30,1,0,10,0,174,1,0,MX,MX_BCN
2020-03-19,Baja California,5,0,26,3,1,15,0,200,4,1,MX,MX_BCN
2020-03-20,Baja California,6,0,41,3,0,21,0,241,7,1,MX,MX_BCN
2020-03-21,Baja California,3,0,21,2,0,24,0,262,9,1,MX,MX_BCN
2020-03-22,Baja California,2,0,13,0,0,26,0,275,9,1,MX,MX_BCN
2020-03-23,Baja California,10,0,68,5,0,36,0,343,14,1,MX,MX_BCN
2020-03-24,Baja California,9,0,52,7,0,45,0,395,21,1,MX,MX_BCN
2020-03-25,Baja California,8,0,64,3,0,53,0,459,24,1,MX,MX_BCN
2020-03-26,Baja California,11,0,65,2,0,64,0,524,26,1,MX,MX_BCN
2020-03-27,Baja California,17,0,73,10,0,81,0,597,36,1,MX,MX_BCN
2020-03-28,Baja California,7,0,36,3,1,88,0,633,39,2,MX,MX_BCN
2020-03-29,Baja California,21,1,40,12,0,109,1,673,51,2,MX,MX_BCN
2020-03-30,Baja California,29,2,78,10,2,138,3,751,61,4,MX,MX_BCN
2020-03-31,Baja California,44,2,85,17,0,182,5,836,78,4,MX,MX_BCN
2020-04-01,Baja California,65,2,103,36,1,247,7,939,114,5,MX,MX_BCN
2020-04-02,Baja California,30,5,64,16,0,277,12,1003,130,5,MX,MX_BCN
2020-04-03,Baja California,38,2,64,17,0,315,14,1067,147,5,MX,MX_BCN
2020-04-04,Baja California,25,5,40,22,0,340,19,1107,169,5,MX,MX_BCN
2020-04-05,Baja California,20,2,28,13,0,360,21,1135,182,5,MX,MX_BCN
