date,total_confirmed,total_tested,total_deceased,new_confirmed,new_tested,new_deceased,key
2020-01-08,0,1,0,0,0,0,GB
2020-01-09,0,1,0,0,0,0,GB
2020-01-10,0,1,0,0,0,0,GB
2020-01-11,0,1,0,0,0,0,GB
2020-01-12,0,1,0,0,0,0,GB
2020-01-13,0,1,0,0,0,0,GB
2020-01-14,0,1,0,0,0,0,GB
2020-01-15,0,1,0,0,0,0,GB
2020-01-16,0,2,0,0,0,0,GB
2020-01-17,0,3,0,0,2,0,GB
2020-01-18,0,3,0,0,0,0,GB
2020-01-19,0,3,0,0,0,0,GB
2020-01-20,0,4,0,0,1,0,GB
2020-01-21,0,4,0,0,0,0,GB
2020-01-22,1,5,0,1,1,0,GB
2020-01-23,1,5,0,0,0,0,GB
2020-01-24,1,7,0,0,0,0,GB
2020-01-25,1,41,0,0,3,0,GB
2020-01-26,1,63,0,0,22,0,GB
2020-01-27,2,88,0,1,24,0,GB
2020-01-28,2,114,0,0,28,0,GB
2020-01-29,2,147,0,0,33,0,GB
2020-01-30,4,184,0,0,37,0,GB
2020-01-31,7,200,0,3,16,0,GB
2020-02-01,4,227,0,0,27,0,GB
2020-02-02,4,290,0,0,63,0,GB
2020-02-03,10,357,0,3,65,0,GB
2020-02-04,2,447,0,0,92,0,GB
2020-02-05,11,504,0,1,57,0,GB
2020-02-06,3,613,0,1,107,0,GB
2020-02-07,3,688,0,0,75,0,GB
2020-02-08,16,781,0,4,93,0,GB
2020-02-09,18,913,0,2,132,0,GB
2020-02-10,8,1251,0,4,338,0,GB
2020-02-11,23,1523,0,1,272,0,GB
2020-02-12,24,1948,0,1,425,0,GB
2020-02-13,26,2757,0,2,809,0,GB
2020-02-14,27,3262,0,1,505,0,GB
2020-02-15,9,3324,0,0,62,0,GB
2020-02-16,27,3448,0,0,152,0,GB
2020-02-17,28,4895,0,1,1419,0,GB
2020-02-18,9,5328,0,0,433,0,GB
2020-02-19,29,5659,0,1,331,0,GB
2020-02-20,31,6028,0,2,369,0,GB
2020-02-21,32,6411,0,1,383,0,GB
2020-02-22,9,6658,0,0,292,0,GB
2020-02-23,37,6897,0,5,194,0,GB
2020-02-24,43,7126,0,6,229,0,GB
2020-02-25,47,7427,0,4,301,0,GB
2020-02-26,50,7846,0,3,419,0,GB
2020-02-27,57,8574,0,7,728,0,GB
2020-02-28,75,9962,0,18,1388,0,GB
2020-02-29,83,11644,0,8,1682,0,GB
2020-03-01,126,13009,0,43,1365,0,GB
2020-03-02,171,14963,0,45,1954,0,GB
2020-03-03,233,15525,0,62,562,0,GB
2020-03-04,319,18463,0,86,2938,0,GB
2020-03-05,398,20155,0,79,1692,0,GB
2020-03-06,522,22710,2,124,2555,2,GB
2020-03-07,622,24010,4,100,1300,2,GB
2020-03-08,740,26371,4,118,2361,0,GB
2020-03-09,924,28033,6,184,1662,2,GB
2020-03-10,1219,29676,14,295,1643,8,GB
2020-03-11,1695,31236,14,476,1560,0,GB
2020-03-12,2302,34388,18,607,3152,4,GB
2020-03-13,2966,38153,21,664,3765,3,GB
2020-03-14,3612,43770,57,646,5617,36,GB
2020-03-15,4405,47098,86,793,3328,29,GB
2020-03-16,5166,51924,133,761,4826,47,GB
2020-03-17,6323,59397,165,1157,7473,32,GB
2020-03-18,7989,66404,234,1666,7007,69,GB
2020-03-19,9676,76063,326,1687,9659,92,GB
2020-03-20,11617,79869,394,1941,3806,70,GB
2020-03-21,13834,87090,515,2217,7221,119,GB
2020-03-22,15844,93588,583,2010,6498,68,GB
2020-03-23,19085,100793,737,3241,7205,154,GB
2020-03-24,22801,108907,1042,3716,8114,305,GB
2020-03-25,26898,117270,1427,4097,8363,385,GB
2020-03-26,32063,127036,1795,5165,9766,368,GB
2020-03-27,38037,137780,2372,5974,10744,577,GB
2020-03-28,43386,146427,2975,5349,8647,603,GB
2020-03-29,48616,154925,3407,5230,8498,432,GB
2020-03-30,55355,164177,4160,6739,9252,753,GB
2020-03-31,62947,174890,4952,7592,10713,792,GB
2020-04-01,72102,187158,6288,9155,12268,1336,GB
2020-04-02,81091,199770,7610,8989,12612,1322,GB
2020-04-03,90426,213007,9064,9335,13237,1454,GB
2020-04-04,98199,224714,10599,7773,11707,1535,GB
2020-04-05,107779,240168,11864,9580,15454,1265,GB
2020-04-06,116655,255606,12992,8876,15438,1128,GB
2020-04-07,125546,262287,15154,8891,6681,2162,GB
2020-04-08,136093,284451,17228,10547,22164,2074,GB
2020-04-09,145335,297930,19474,9242,13479,2246,GB
2020-04-10,154758,313497,21748,9423,15567,2274,GB
2020-04-11,167101,328656,23423,12343,15159,1675,GB
2020-04-12,175723,343499,24792,8622,14843,1369,GB
2020-04-13,183913,353650,26289,8190,10151,1497,GB
2020-04-14,193289,367795,28427,9376,14145,2138,GB
2020-04-15,202385,381776,30139,9096,13981,1712,GB
2020-04-16,211295,398529,32201,8910,16753,2062,GB
2020-04-17,221112,415346,34060,9817,16817,1859,GB
2020-04-18,229954,433548,36284,8842,18202,2224,GB
2020-04-19,238479,451694,37212,8525,18146,928,GB
2020-04-20,246884,467231,38359,8405,15537,1147,GB
2020-04-21,254792,481497,40768,7908,14266,2409,GB
2020-04-22,262723,498122,42463,7931,16625,1695,GB
2020-04-23,270720,515694,43885,7997,17572,1422,GB
2020-04-24,279462,536983,45822,8742,21289,1937,GB
2020-04-25,286730,613285,47497,7268,76302,1675,GB
2020-04-26,293033,641173,48308,6303,27888,811,GB
2020-04-27,299998,670220,48995,6965,29047,687,GB
2020-04-28,306698,702737,50868,6700,32517,1873,GB
2020-04-29,313693,739657,52418,6995,36920,1550,GB
2020-04-30,322448,797751,53736,8755,58094,1318,GB
2020-05-01,331148,876948,55211,8700,79197,1475,GB
2020-05-02,337694,944461,56421,6546,67513,1210,GB
