Date,Country,AreaCode,Area,TotalCases
2020-01-30,England,E06000014,York,1
2020-02-03,England,E10000008,Devon,2
2020-02-03,England,E10000015,Hertfordshire,1
2020-02-03,England,E10000016,Kent,1
2020-02-03,England,E08000016,Barnsley,1
2020-02-03,Wales,W11000028,Aneurin Bevan,0
2020-02-03,Wales,W11000023,Betsi Cadwaladr,0
2020-02-03,Wales,W11000029,Cardiff and Vale,0
2020-02-03,Wales,W11000030,Cwm Taf,0
2020-02-03,Wales,W11000025,Hywel Dda,0
2020-02-03,Wales,,Outside Wales,0
2020-02-03,Wales,W11000024,Powys,0
2020-02-03,Wales,W11000031,Swansea Bay,0
2020-02-03,Wales,,Unknown,0
2020-02-04,Wales,W11000028,Aneurin Bevan,0
2020-02-04,Wales,W11000023,Betsi Cadwaladr,0
2020-02-04,Wales,W11000029,Cardiff and Vale,0
2020-02-04,Wales,W11000030,Cwm Taf,0
2020-02-04,Wales,W11000025,Hywel Dda,0
2020-02-04,Wales,,Outside Wales,0
2020-02-04,Wales,W11000024,Powys,0
2020-02-04,Wales,W11000031,Swansea Bay,0
2020-02-04,Wales,,Unknown,0
2020-02-05,England,E06000043,Brighton and Hove,1
2020-02-05,Wales,W11000028,Aneurin Bevan,0
2020-02-05,Wales,W11000023,Betsi Cadwaladr,0
2020-02-05,Wales,W11000029,Cardiff and Vale,0
2020-02-05,Wales,W11000030,Cwm Taf,0
2020-02-05,Wales,W11000025,Hywel Dda,0
2020-02-05,Wales,,Outside Wales,0
2020-02-05,Wales,W11000024,Powys,0
2020-02-05,Wales,W11000031,Swansea Bay,0
2020-02-05,Wales,,Unknown,0
2020-02-06,Wales,W11000028,Aneurin Bevan,0
2020-02-06,Wales,W11000023,Betsi Cadwaladr,0
2020-02-06,Wales,W11000029,Cardiff and Vale,0
2020-02-06,Wales,W11000030,Cwm Taf,0
2020-02-06,Wales,W11000025,Hywel Dda,0
2020-02-06,Wales,,Outside Wales,0
2020-02-06,Wales,W11000024,Powys,0
2020-02-06,Wales,W11000031,Swansea Bay,0
2020-02-06,Wales,,Unknown,0
2020-02-07,Wales,W11000028,Aneurin Bevan,0
2020-02-07,Wales,W11000023,Betsi Cadwaladr,0
2020-02-07,Wales,W11000029,Cardiff and Vale,0
2020-02-07,Wales,W11000030,Cwm Taf,0
2020-02-07,Wales,W11000025,Hywel Dda,0
2020-02-07,Wales,,Outside Wales,0
2020-02-07,Wales,W11000024,Powys,0
2020-02-07,Wales,W11000031,Swansea Bay,0
2020-02-07,Wales,,Unknown,0
2020-02-08,England,E06000043,Brighton and Hove,4
2020-02-08,England,E10000025,Oxfordshire,1
2020-02-08,Wales,W11000028,Aneurin Bevan,0
2020-02-08,Wales,W11000023,Betsi Cadwaladr,0
2020-02-08,Wales,W11000029,Cardiff and Vale,0
2020-02-08,Wales,W11000030,Cwm Taf,0
2020-02-08,Wales,W11000025,Hywel Dda,0
2020-02-08,Wales,,Outside Wales,0
2020-02-08,Wales,W11000024,Powys,0
2020-02-08,Wales,W11000031,Swansea Bay,0
2020-02-08,Wales,,Unknown,0
2020-02-09,England,E06000043,Brighton and Hove,5
2020-02-09,Wales,W11000028,Aneurin Bevan,0
2020-02-09,Wales,W11000023,Betsi Cadwaladr,0
2020-02-09,Wales,W11000029,Cardiff and Vale,0
2020-02-09,Wales,W11000030,Cwm Taf,0
2020-02-09,Wales,W11000025,Hywel Dda,0
2020-02-09,Wales,,Outside Wales,0
2020-02-09,Wales,W11000024,Powys,0
2020-02-09,Wales,W11000031,Swansea Bay,0
2020-02-09,Wales,,Unknown,0
2020-02-10,Wales,W11000028,Aneurin Bevan,0
2020-02-10,Wales,W11000023,Betsi Cadwaladr,0
2020-02-10,Wales,W11000029,Cardiff and Vale,0
2020-02-10,Wales,W11000030,Cwm Taf,0
2020-02-10,Wales,W11000025,Hywel Dda,0
2020-02-10,Wales,,Outside Wales,0
2020-02-10,Wales,W11000024,Powys,0
2020-02-10,Wales,W11000031,Swansea Bay,0
2020-02-10,Wales,,Unknown,0
2020-02-11,England,E09000023,Lewisham,1
2020-02-11,Wales,W11000028,Aneurin Bevan,0
2020-02-11,Wales,W11000023,Betsi Cadwaladr,0
2020-02-11,Wales,W11000029,Cardiff and Vale,0
2020-02-11,Wales,W11000030,Cwm Taf,0
2020-02-11,Wales,W11000025,Hywel Dda,0
2020-02-11,Wales,,Outside Wales,0
2020-02-11,Wales,W11000024,Powys,0
2020-02-11,Wales,W11000031,Swansea Bay,0
2020-02-11,Wales,,Unknown,0
2020-02-12,England,E10000034,Worcestershire,1
2020-02-12,Wales,W11000028,Aneurin Bevan,0
2020-02-12,Wales,W11000023,Betsi Cadwaladr,0
2020-02-12,Wales,W11000029,Cardiff and Vale,0
2020-02-12,Wales,W11000030,Cwm Taf,0
2020-02-12,Wales,W11000025,Hywel Dda,0
2020-02-12,Wales,,Outside Wales,0
2020-02-12,Wales,W11000024,Powys,0
2020-02-12,Wales,W11000031,Swansea Bay,0
2020-02-12,Wales,,Unknown,0
2020-02-13,England,E09000009,Ealing,1
2020-02-13,Wales,W11000028,Aneurin Bevan,0
2020-02-13,Wales,W11000023,Betsi Cadwaladr,0
2020-02-13,Wales,W11000029,Cardiff and Vale,0
2020-02-13,Wales,W11000030,Cwm Taf,0
2020-02-13,Wales,W11000025,Hywel Dda,0
2020-02-13,Wales,,Outside Wales,0
2020-02-13,Wales,W11000024,Powys,0
2020-02-13,Wales,W11000031,Swansea Bay,0
2020-02-13,Wales,,Unknown,0
2020-02-14,Wales,W11000028,Aneurin Bevan,0
2020-02-14,Wales,W11000023,Betsi Cadwaladr,0
2020-02-14,Wales,W11000029,Cardiff and Vale,0
2020-02-14,Wales,W11000030,Cwm Taf,0
2020-02-14,Wales,W11000025,Hywel Dda,0
2020-02-14,Wales,,Outside Wales,0
2020-02-14,Wales,W11000024,Powys,0
2020-02-14,Wales,W11000031,Swansea Bay,0
2020-02-14,Wales,,Unknown,0
2020-02-15,Wales,W11000028,Aneurin Bevan,0
2020-02-15,Wales,W11000023,Betsi Cadwaladr,0
2020-02-15,Wales,W11000029,Cardiff and Vale,0
2020-02-15,Wales,W11000030,Cwm Taf,0
2020-02-15,Wales,W11000025,Hywel Dda,0
2020-02-15,Wales,,Outside Wales,0
2020-02-15,Wales,W11000024,Powys,0
2020-02-15,Wales,W11000031,Swansea Bay,0
2020-02-15,Wales,,Unknown,0
2020-02-16,Wales,W11000028,Aneurin Bevan,0
2020-02-16,Wales,W11000023,Betsi Cadwaladr,0
2020-02-16,Wales,W11000029,Cardiff and Vale,0
2020-02-16,Wales,W11000030,Cwm Taf,0
2020-02-16,Wales,W11000025,Hywel Dda,0
2020-02-16,Wales,,Outside Wales,0
2020-02-16,Wales,W11000024,Powys,0
2020-02-16,Wales,W11000031,Swansea Bay,0
2020-02-16,Wales,,Unknown,0
2020-02-17,England,E09000010,Enfield,1
2020-02-17,Wales,W11000028,Aneurin Bevan,0
2020-02-17,Wales,W11000023,Betsi Cadwaladr,0
2020-02-17,Wales,W11000029,Cardiff and Vale,0
2020-02-17,Wales,W11000030,Cwm Taf,0
2020-02-17,Wales,W11000025,Hywel Dda,0
2020-02-17,Wales,,Outside Wales,0
2020-02-17,Wales,W11000024,Powys,0
2020-02-17,Wales,W11000031,Swansea Bay,0
2020-02-17,Wales,,Unknown,0
2020-02-18,Wales,W11000028,Aneurin Bevan,0
2020-02-18,Wales,W11000023,Betsi Cadwaladr,0
2020-02-18,Wales,W11000029,Cardiff and Vale,0
2020-02-18,Wales,W11000030,Cwm Taf,0
2020-02-18,Wales,W11000025,Hywel Dda,0
2020-02-18,Wales,,Outside Wales,0
2020-02-18,Wales,W11000024,Powys,0
2020-02-18,Wales,W11000031,Swansea Bay,0
2020-02-18,Wales,,Unknown,0
2020-02-19,England,E09000012,Hackney,1
2020-02-19,Wales,W11000028,Aneurin Bevan,0
2020-02-19,Wales,W11000023,Betsi Cadwaladr,0
2020-02-19,Wales,W11000029,Cardiff and Vale,0
2020-02-19,Wales,W11000030,Cwm Taf,0
2020-02-19,Wales,W11000025,Hywel Dda,0
2020-02-19,Wales,,Outside Wales,0
2020-02-19,Wales,W11000024,Powys,0
2020-02-19,Wales,W11000031,Swansea Bay,0
2020-02-19,Wales,,Unknown,0
2020-02-20,England,E08000032,Bradford,1
2020-02-20,Wales,W11000028,Aneurin Bevan,0
2020-02-20,Wales,W11000023,Betsi Cadwaladr,0
2020-02-20,Wales,W11000029,Cardiff and Vale,0
2020-02-20,Wales,W11000030,Cwm Taf,0
2020-02-20,Wales,W11000025,Hywel Dda,0
2020-02-20,Wales,,Outside Wales,0
2020-02-20,Wales,W11000024,Powys,0
2020-02-20,Wales,W11000031,Swansea Bay,0
2020-02-20,Wales,,Unknown,0
2020-02-21,England,E10000024,Nottinghamshire,1
2020-02-21,Wales,W11000028,Aneurin Bevan,0
2020-02-21,Wales,W11000023,Betsi Cadwaladr,0
2020-02-21,Wales,W11000029,Cardiff and Vale,0
2020-02-21,Wales,W11000030,Cwm Taf,0
2020-02-21,Wales,W11000025,Hywel Dda,0
2020-02-21,Wales,,Outside Wales,0
2020-02-21,Wales,W11000024,Powys,0
2020-02-21,Wales,W11000031,Swansea Bay,0
2020-02-21,Wales,,Unknown,0
2020-02-22,Wales,W11000028,Aneurin Bevan,0
2020-02-22,Wales,W11000023,Betsi Cadwaladr,0
2020-02-22,Wales,W11000029,Cardiff and Vale,0
2020-02-22,Wales,W11000030,Cwm Taf,0
2020-02-22,Wales,W11000025,Hywel Dda,0
2020-02-22,Wales,,Outside Wales,0
2020-02-22,Wales,W11000024,Powys,0
2020-02-22,Wales,W11000031,Swansea Bay,0
2020-02-22,Wales,,Unknown,0
2020-02-23,England,E09000007,Camden,1
2020-02-23,England,E06000042,Milton Keynes,1
2020-02-23,England,E09000026,Redbridge,1
2020-02-23,England,E09000019,Islington,1
2020-02-23,England,E10000031,Warwickshire,1
2020-02-23,Wales,W11000028,Aneurin Bevan,0
2020-02-23,Wales,W11000023,Betsi Cadwaladr,0
2020-02-23,Wales,W11000029,Cardiff and Vale,0
2020-02-23,Wales,W11000030,Cwm Taf,0
2020-02-23,Wales,W11000025,Hywel Dda,0
