CCAA,FECHA,CASOS,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos,Recuperados
AN,20/02/2020,,,,,,,
AR,20/02/2020,,,,,,,
AS,20/02/2020,,,,,,,
IB,20/02/2020,1,,,,,,
CN,20/02/2020,1,,,,,,
CB,20/02/2020,,,,,,,
CM,20/02/2020,,,,,,,
CL,20/02/2020,0,,,,,,
CT,20/02/2020,0,,,,,,
CE,20/02/2020,,,,,,,
VC,20/02/2020,,,,26,0,,
EX,20/02/2020,,,,,,,
GA,20/02/2020,,,,,,,
MD,20/02/2020,,0,,,,,
ML,20/02/2020,,,,,,,
MC,20/02/2020,,,,,,,
NC,20/02/2020,,,,,,,
PV,20/02/2020,,,,,,,
RI,20/02/2020,,,,,,,
AN,21/02/2020,,,,,,,
AR,21/02/2020,,,,,,,
AS,21/02/2020,,,,,,,
IB,21/02/2020,1,,,,,,
CN,21/02/2020,1,,,,,,
CB,21/02/2020,,,,,,,
CM,21/02/2020,,,,,,,
CL,21/02/2020,0,,,,,,
CT,21/02/2020,0,,,,,,
CE,21/02/2020,,,,,,,
VC,21/02/2020,,,,30,1,,
EX,21/02/2020,,,,,,,
GA,21/02/2020,,,,,,,
MD,21/02/2020,,0,,,,,
ML,21/02/2020,,,,,,,
MC,21/02/2020,,,,,,,
NC,21/02/2020,,,,,,,
PV,21/02/2020,,,,,,,
RI,21/02/2020,,,,,,,
AN,22/02/2020,,,,,,,
AR,22/02/2020,,,,,,,
AS,22/02/2020,,,,,,,
IB,22/02/2020,1,,,,,,
CN,22/02/2020,1,,,,,,
CB,22/02/2020,,,,,,,
CM,22/02/2020,,,,,,,
CL,22/02/2020,0,,,,,,
CT,22/02/2020,0,,,,,,
CE,22/02/2020,,,,,,,
VC,22/02/2020,,,,33,1,,
EX,22/02/2020,,,,,,,
GA,22/02/2020,,,,,,,
MD,22/02/2020,,0,,,,,
ML,22/02/2020,,,,,,,
MC,22/02/2020,,,,,,,
NC,22/02/2020,,,,,,,
PV,22/02/2020,,,,,,,
RI,22/02/2020,,,,,,,
AN,23/02/2020,,,,,,,
AR,23/02/2020,,,,,,,
AS,23/02/2020,,,,,,,
IB,23/02/2020,1,,,,,,
CN,23/02/2020,1,,,,,,
CB,23/02/2020,,,,,,,
CM,23/02/2020,,,,,,,
CL,23/02/2020,0,,,,,,
CT,23/02/2020,0,,,,,,
CE,23/02/2020,,,,,,,
VC,23/02/2020,,,,38,2,,
EX,23/02/2020,,,,,,,
GA,23/02/2020,,,,,,,
MD,23/02/2020,,0,,,,,
ML,23/02/2020,,,,,,,
MC,23/02/2020,,,,,,,
NC,23/02/2020,,,,,,,
PV,23/02/2020,,,,,,,
RI,23/02/2020,,,,,,,
AN,24/02/2020,,,,,,,
AR,24/02/2020,,,,,,,
AS,24/02/2020,,,,,,,
IB,24/02/2020,1,,,,,,
CN,24/02/2020,2,,,,,,
CB,24/02/2020,,,,,,,
CM,24/02/2020,,,,,,,
CL,24/02/2020,0,,,,,,
CT,24/02/2020,0,,,,,,
CE,24/02/2020,,,,,,,
VC,24/02/2020,,,,49,2,,
EX,24/02/2020,,,,,,,
GA,24/02/2020,,,,,,,
MD,24/02/2020,,0,,,,,
ML,24/02/2020,,,,,,,
MC,24/02/2020,,,,,,,
NC,24/02/2020,,,,,,,
PV,24/02/2020,,,,,,,
RI,24/02/2020,,,,,,,
AN,25/02/2020,,0,,,,,
AR,25/02/2020,,,,,,,
AS,25/02/2020,,,,,,,
IB,25/02/2020,1,,,,,,
CN,25/02/2020,5,,,,,,
CB,25/02/2020,,,,,,,
CM,25/02/2020,,,,,,,
CL,25/02/2020,0,,,,,,
CT,25/02/2020,1,,,,,,
CE,25/02/2020,,,,,,,
VC,25/02/2020,1,,,58,2,,
EX,25/02/2020,,,,,,,
GA,25/02/2020,,,,,,,
MD,25/02/2020,,1,,,,,
ML,25/02/2020,,,,,,,
MC,25/02/2020,,,,,,,
NC,25/02/2020,,,,,,,
PV,25/02/2020,,,,,,,
RI,25/02/2020,,,,,,,
AN,26/02/2020,,1,,,,,
AR,26/02/2020,,,,,,,
AS,26/02/2020,,,,,,,
IB,26/02/2020,1,,,,,,
CN,26/02/2020,6,,,,,,
CB,26/02/2020,,,,,,,
CM,26/02/2020,,,,,,,
CL,26/02/2020,0,,,,,,
CT,26/02/2020,2,,,,,,
CE,26/02/2020,,,,,,,
VC,26/02/2020,2,,,63,3,,
EX,26/02/2020,,,,,,,
GA,26/02/2020,,,,,,,
MD,26/02/2020,,5,,,,,
ML,26/02/2020,,,,,,,
MC,26/02/2020,,,,,,,
NC,26/02/2020,,,,,,,
PV,26/02/2020,,,,,,,
RI,26/02/2020,,,,,,,
AN,27/02/2020,,6,,,,,
AR,27/02/2020,,,,,,,
AS,27/02/2020,,,,,,,
IB,27/02/2020,1,,,,,,
